url	first_seen	portal	title	company	status	location
https://jobs.lever.co/nitra/4139a944-1c9f-43c6-94ed-960f4df213ae	2026-06-06	lever-api	Product Manager (Taipei)	Nitra	added	Taipei
https://jobs.lever.co/myob-2/b1c2aad0-280b-4b1b-872b-37829b5dd1fa	2026-06-06	lever-api	Account Executive	MYOB	added	Sydney, Australia
https://jobs.lever.co/myob-2/4838bcb1-3a71-4803-8fe1-77c978100f0f	2026-06-06	lever-api	Growth Product Manager	MYOB	added	Melbourne, Australia
https://jobs.lever.co/myob-2/8665a5f7-e4a5-453f-b73f-dcb89cad0b98	2026-06-06	lever-api	Senior GTM Manager	MYOB	added	Melbourne, Australia
https://jobs.lever.co/myob-2/48cb19b3-99f9-496e-aeae-2a89fe8a6b50	2026-06-06	lever-api	Growth Product Manager	MYOB	added	Sydney, Australia
https://jobs.ashbyhq.com/heidihealth.com.au/c023c208-9a9e-4a83-be76-abd3514efd7b	2026-06-07	ashby-api	Account Executive (Commercial)	Heidi Health	added	Melbourne
https://jobs.ashbyhq.com/heidihealth.com.au/ebb59341-ef24-44b5-b3ef-c85b8cdbd1c5	2026-06-07	ashby-api	Account Executive (Enterprise)	Heidi Health	added	Melbourne
https://jobs.ashbyhq.com/heidihealth.com.au/63441be2-6dab-479e-b772-f2a114d2c33e	2026-06-07	ashby-api	Sales Development Representative	Heidi Health	added	Melbourne
https://jobs.ashbyhq.com/heidihealth.com.au/c2d15424-b3a0-41eb-9c65-170c7d35ec71	2026-06-07	ashby-api	Customer Success Manager (Enterprise)	Heidi Health	added	Melbourne
https://jobs.ashbyhq.com/netwealth/3a855636-3ccb-41ad-821c-abdff58fe2b9	2026-06-07	ashby-api	Product Manager	Netwealth	added	Melbourne Office
https://jobs.ashbyhq.com/netwealth/6f829d0a-773f-4130-9fc5-6ab04346a875	2026-06-07	ashby-api	Senior Business Development Manager	Netwealth	added	Melbourne Office
https://jobs.ashbyhq.com/netwealth/f2133456-4314-427a-b3b3-88922cc91eea	2026-06-07	ashby-api	Senior Product Manager	Netwealth	added	Melbourne Office
https://jobs.ashbyhq.com/airwallex/7ceae593-2d91-4eaf-bdf0-9d9a833d0675	2026-06-07	ashby-api	Senior Account Executive	Airwallex	added	AU - Melbourne
https://jobs.ashbyhq.com/airwallex/af575d67-58af-4140-98cc-71125144d3e5	2026-06-07	ashby-api	Inbound Sales Executive, SME & Growth	Airwallex	added	AU - Melbourne
https://jobs.ashbyhq.com/airwallex/bc9c0595-e1ff-46ee-b57f-9eb41cbe7bab	2026-06-07	ashby-api	Senior Account Executive, Enterprise	Airwallex	added	AU - Melbourne
https://jobs.ashbyhq.com/airwallex/72b5e7b9-a02c-4cd6-b42d-75f0d707525a	2026-06-07	ashby-api	Partnerships Development Representative	Airwallex	added	AU - Melbourne
https://job-boards.greenhouse.io/cultureamp/jobs/7859957	2026-06-07	greenhouse-api	Sales Development Representative, Allbound	Culture Amp	added	Melbourne
https://job-boards.greenhouse.io/cultureamp/jobs/7981231	2026-06-07	greenhouse-api	Scaled Customer Success Manager - 12 month FTC	Culture Amp	added	Melbourne 
https://jobs.lever.co/objective/a37f279a-a4ea-4e7b-8ac5-2427bba30384	2026-06-07	lever-api	Manager, Customer Success	Objective	added	Melbourne
https://jobs.lever.co/blinq/c30368df-9ea4-49c8-880f-dc301130d29c	2026-06-07	lever-api	Growth Strategy & Operations associate	Blinq	added	Melbourne, Victoria
https://jobs.lever.co/Zeller/2c3b9e56-270e-44b7-959d-e3293de878c1	2026-06-07	lever-api	Account Executive (Mid-Market)	Zeller	added	Melbourne
https://jobs.lever.co/Zeller/c8ac7f14-623a-4262-9e00-1cadd46d8ccb	2026-06-07	lever-api	Account Executive (SMB)	Zeller	added	Melbourne
https://jobs.lever.co/Zeller/8c733b5a-8297-4675-8010-8b82036eff44	2026-06-07	lever-api	Enterprise Business Development Manager	Zeller	added	Melbourne
https://job-boards.greenhouse.io/roller/jobs/4999845007	2026-06-07	greenhouse-api	MM Account Executive (APAC)	ROLLER	added	Melbourne, Australia; Sydney, Australia
